epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2231.13,0.30385,0.29083,0.91777,0.93805,0.96056,0.96349,0.92169,0.36666,0.35996,0.84118,0.000180073,0.000180073,0.000180073
83,3565.68,0.30717,0.29592,0.92134,0.93341,0.92238,0.95936,0.91624,0.3534,0.4199,0.84521,0.000171074,0.000171074,0.000171074
84,4971.98,0.29893,0.28381,0.91643,0.91509,0.9442,0.96176,0.91858,0.35183,0.36843,0.83028,0.000162075,0.000162075,0.000162075
85,6446.26,0.30345,0.27853,0.91582,0.93639,0.93164,0.95331,0.91478,0.3513,0.36505,0.83627,0.000153076,0.000153076,0.000153076
86,7820.26,0.29983,0.2955,0.91804,0.95008,0.91779,0.9618,0.91761,0.36036,0.38302,0.84506,0.000144077,0.000144077,0.000144077
87,9153.73,0.30159,0.27731,0.9138,0.93306,0.93366,0.95837,0.91676,0.35401,0.38571,0.84519,0.000135077,0.000135077,0.000135077
88,10506,0.29538,0.28182,0.91725,0.94098,0.91599,0.95702,0.91891,0.35856,0.38672,0.85347,0.000126078,0.000126078,0.000126078
89,11853.4,0.29789,0.28798,0.90989,0.93497,0.92641,0.95963,0.91771,0.35475,0.38425,0.83631,0.000117079,0.000117079,0.000117079
90,13285.2,0.29428,0.26831,0.91505,0.93698,0.93232,0.95927,0.91886,0.3462,0.37366,0.83291,0.00010808,0.00010808,0.00010808
91,14759.1,0.24911,0.26144,0.89244,0.92656,0.95164,0.96107,0.91688,0.36098,0.40411,0.85487,9.9081e-05,9.9081e-05,9.9081e-05
92,16213.3,0.23426,0.20318,0.88507,0.94184,0.93115,0.96555,0.92643,0.35577,0.39743,0.84869,9.00819e-05,9.00819e-05,9.00819e-05
93,17660.9,0.22845,0.19148,0.871,0.93305,0.94303,0.96308,0.92677,0.33886,0.38189,0.83614,8.10828e-05,8.10828e-05,8.10828e-05
94,19062,0.2234,0.18883,0.87287,0.93111,0.94605,0.96456,0.92753,0.33222,0.36211,0.82331,7.20837e-05,7.20837e-05,7.20837e-05
95,20509,0.22019,0.20037,0.87012,0.94551,0.9283,0.96223,0.92628,0.33692,0.35925,0.82963,6.30846e-05,6.30846e-05,6.30846e-05
96,21928.5,0.21437,0.18313,0.87397,0.93348,0.95757,0.96267,0.92428,0.33973,0.35677,0.8383,5.40855e-05,5.40855e-05,5.40855e-05
97,23422.5,0.21502,0.18519,0.8705,0.9386,0.94769,0.96566,0.92706,0.33581,0.36587,0.83208,4.50864e-05,4.50864e-05,4.50864e-05
98,24918.1,0.21323,0.18116,0.87609,0.94643,0.95337,0.96727,0.93094,0.33342,0.3491,0.82837,3.60873e-05,3.60873e-05,3.60873e-05
99,26400,0.2107,0.17545,0.8661,0.9429,0.94374,0.96504,0.92795,0.33505,0.35166,0.83164,2.70882e-05,2.70882e-05,2.70882e-05
100,27731.9,0.20222,0.18018,0.86226,0.94112,0.94579,0.9672,0.93234,0.33414,0.33888,0.83042,1.80891e-05,1.80891e-05,1.80891e-05
